Strain,Cultivator,Split,DT1,DT2,DT3,DT4,DT5,QR,Ailments,BestFor,Effects,Smell,Taste,Lineage
Apex,,50/50 H,Limonene,β-Myrcene,β-Caryophyllene,,,,"Stress, Anxiety, Depression, Pain, Lack of focus","Unwind with APEX, a delightful 50/50 hybrid born from the fusion of Mandarin Cookies and Lilac Diesel. Immerse yourself in a harmonious experience where the uplifting and creative energy seamlessly blends with a soothing, relaxing body high. APEX is your passport to a world of citrusy and sweet flavors, complemented by subtle earthy undertones and a captivating aroma that dances between citrus, diesel, and delicate floral hints.","Balanced hybrid effects, Uplifting and euphoric, Relaxing body high, Increased creativity and focus, Eases stress and anxiety","Citrus, Diesel, Floral hints","Citrusy, Earthy, Sweet undertones",Mandarin Cookies x Lilac Diesel
Apple Butter,Osage Creek,50/50,α & β Pinene,Limonene,β-Caryophyllene,,,,"Stress Relief, Pain Management, Creative Activity","Users can anticipate a balanced high, offering both mental stimulation and physical relaxation. It may provide an uplifting cerebral effect, followed by soothing body relaxation.","Focused, Happy, Uplifted","Woody, Citrus, Gas",,
ArkanZa,RVR,Indica Hybrid,Limonene,Linalool,α-Humulene,β-Caryophyllene,Pinene,https://rvr.care/Delez,"Insomnia, Chronic Stress, and Anxiety","Introducing ArkanZA, a rare and tranquilizing indica-dominant hybrid crafted from the fusion of Scotts OG and Gas Station Bob strains.","Seditive, Uplifts the mind, Body Soothing, Relaxation","Spicy Diesel, Sour Lemon",,
Astroglide,Osage Creek,30/70,Linalool,Limonene,β-Caryophyllene,,,https://sh-ar.qbench.net/pr/b1ed07c4dcc8414,"Stress Relief, Evening Relaxation, Pain Management","Astro Glide provides a calming body high paired with gentle mental relaxation. Ideal for winding down, it promotes a tranquil, laid-back experience perfect for evening use.","Relaxation, Tranquility, Comfort","Floral, Citrus, Spice",,
Baby Jokerz,Bold,Indica Dominant Hybrid,β-Caryophyllene,Limonene,β-Myrcene,,,,,Baby Jokerz is an interesting genetic bred by Compound Genetics. This combination of White Runtz and Jet Fuel Gelato brings two of much hyped modern cultivars together in one frosty package.,,,,
BAKLAVA,Leafology,Indica,β-Myrcene,Limonene,Linalool,,,,"Pain, Depression, Fatigue, Nausea, Stress",,"Euphoria, Relaxation, Focus, Uplift","Berry, Citrus, Creamy, Herbal",,
Banana Daddy,Carpenter Farms,,β-Myrcene,Sabinene,β-Caryophyllene,3-Carene,cis-β-Ocimene,https://drive.google.com/file/d/1VgMBKp5TdL7YC9rfUurM4ZQUY7OcWg8u/view,,,,,,
Banana Hammock,Bold,Indica Dominant,Terpinolene,β-Myrcene,α-Pinene,,,,,"Bred by Ethos out of Colorado, Banana Hammock is an indica cross of Grape God and Mandarin Sunset. Large dense purple flowers with fruity tropical terpenes smelling of grape and honey. Banana Hammock is potent, usually testing above 20% THC. It’s large, colorful colas are certainly a sight to behold.",,,,
Banana Loaf,Bold,Sativa Hybrid,β-Caryophyllene,β-Myrcene,Limonene,,,,,"Banana Loaf is an sativa dominant hybrid that has all the best traits of both its indica and sativa parents. Being considered a more potent strain, it has THC levels that average around 20-25%. Expect gassy/diesel vibes from the El Chapo father as it is based on Headbanger from Karma Genetics.",,,,
Banana Papaya,Carpenter Farms,,Limonene,β-Myrcene,β-Pinene,β-Caryophyllene,α-Phellandrene,https://drive.google.com/file/d/1N7Rh09WNvub4yC0UJQvkB_P8vMFWZnPj/view,,,,,,
Banana Tangie #7,Osage Creek,25-75,β-Myrcene,Limonene,β-Caryophyllene,Linalool,α-Humulene,https://sh-ar.qbench.net/pr/ddee5526a5f9a11,"Evening Relaxation, Stree Relief, Therapeutic Use","Best suited for evening or nighttime use due to its relaxing effects. Perfect for users seeking a strain for relaxation, leisure activities, or unwinding after a long day.","Comfort, Relaxation, Happy","Fruity, Earthy, Citrus, Skunky",,
Banana Zoap,River Valley Relief,,β-Caryophyllene,Limonene,Linalool,β-Myrcene,α-Humulene,https://rvr.care/BZOCF,,,,,,
BATTLE AXE,Leafology,Hybrid,Limonene,Pinene,β-Caryophyllene,,,,"Euphoria, Relaxation, Focus, Creativity",,"Euphoria, Relaxation, Focus, Creativity","Gasoline, Pine, Earthy, Herbal",,
BAVARIAN CREAM,Leafology,Indica,β-Myrcene,Limonene,β-Caryophyllene,,,,"Stress, Anxiety, Lethargy Depression, Insomnia",,"Relaxation, Euphoria, Sedation","Sour Citrus, Spicy Herbs, Creamy Vanilla",,
BIG RED,Leafology,Sativa,Limonene,β-Caryophyllene,β-Myrcene,,,,"Pain, Inflammation, Cramps, Arthritis, Fatigue",,"Euphoria, Motivation, Relaxation","Fruity, Herbal, Creamy, Citrus",,
Biscoti Mintz,Osage Creek,20-80,β-Myrcene,Limonene,β-Caryophyllene,,,,"Creative Activities, Full-Body Relaxation, Mood Enhancement","With the Biscotti Mintz Strain, discover a highly creative, focused, and relaxing effect with a noticeable and distinct creeping energizing body high","Focused, Relaxed, Happy","Earthy, Citrus, Spice",,
BLACK CHERRY PUNCH,Leafology,Indica,Limonene,β-Myrcene,β-Caryophyllene,,,,"Stress, Anxiety, Insomnia, & Appetite Stimulation",,"Relaxing, Sedative, Creative, & Tingly","Sweet Cherry, Woody, Herbal Vanilla",,
Black Jack,Natural State Medicinals,,Terpinolene,cis-β-Ocimene,β-Caryophyllene,β-Myrcene,α-Humulene,https://drive.google.com/file/d/1n0M5X4puqXPwm_L9jHSQId056eqH2k2E/view,,,,,,
Black Jack,,70/30 I,β-Caryophyllene,Terpinolene,cis-β-Ocimene,β-Myrcene,,,Appetite Stimulation; Nausea Relief; Stress Relief,"Feeling lucky? Then it's time to roll the dice with Black Jack! This strain is like a winning hand that'll make you smile from ear to ear. Its enticing scent and dark, mysterious appearance set the stage for an unforgettable experience. Black Jack brings a balanced blend of euphoria and relaxation, leaving you in a state of pure enjoyment. Get ready to embrace good vibes and let Blackjack be your lucky charm!","Euphoria, Happy, Uplifted, Creative, Focused","Earthy, Piney, Sweet, Spicy","Sweet, Spicy, Herbal, Piney",Black Domina x Jack Herer strain (n.s.)
Black Water,,,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,Linalool,https://bit.ly/4jxYzFE,,,,,,
Blackwater,,90/10 I,β-Myrcene,Limonene,β-Caryophyllene,α-Humulene,Linalool,,"Depression; Chronic stress or anxiety; Appetite loss; Migraines, Muscle spasms","Dive into a sea of tranquility with Blackwater! This strain is like a peaceful oasis that washes away stress and tension. Its smooth and velvety smoke wraps you in a comforting embrace, while the deep, rich aroma adds to the experience. Blackwater brings a sense of calm and relaxation, allowing you to float through life with ease. Take a deep breath, exhale, and let the soothing effects of Blackwater carry you away.","Relaxation, Euphoria, Sleepiness, Happy, Uplifted","Earthy, Woody, Pungent, Sweet","Earthy, Woody, Sweet, Floral",Mendocino Purps x San Fernando Valley OG Kush
Blueberry Clementine,Revolution,,β-Caryophyllene,β-Myrcene,Linalool,Limonene,α-Humulene,https://fastlabs.qbench.net/pr/af0cfeee8c7a1ce,,,,,,
Blueberry Headband,Osage Creek,30-70,Terpinolene,cis-β-Ocimene,Limonene,,,,"Social Gatherings, Creative Activites Mental Clarity","Often chosen for its ability to relieve stress, anxiety, and mild pain. Its cerebral effects may also be beneficial for those seeking creative inspiration or focus.","Balanced, Relaxtion, Focused","Herbal, Sweet, Citrus",,
BB Mandarin Cookies,Bold,Indica Dominant Hybrid,β-Caryophyllene,Linalool,α-Humulene,,,,,"Not much is known about this specific cut, but we do know it’s big and frosty! This unique cultivar grows like an old school indica with big bushy plants and large individual nugs. The blueberry flavor cuts through with a sweet dough undertone. A unique addition to the BOLD genetic stable.",,,,
Blueberry Scone,Bold,Indica Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,,"Bred by @khushkush, Blueberry Scone is an indica dominant hybrid cross between Colorado’s Commerce City and the Thai based “The One”. This sweet-tasting variety provides long-lasting relief for patients treating symptoms throughout the day and is great for creative outings.",,,,
Blue Dream,Osage Creek,70-30,β-Myrcene,Limonene,β-Caryophyllene,,,,"Creative Activities, Stress Relief, Pain Management","This strain produces a balanced high, along with effects such as cerebral stimulation and full-body relaxation.","Focused, Relaxed, Happy","Herbal, Citrus, Spice",,
Blue Dream,Bold,Sativa Dominant Hybrid,β-Myrcene,α-Pinene,β-Caryophyllene,,,,,"Blue Dream, a sativa dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria",,,,
Blue Gelato 41,Osage Creek,40-60,cis-β-Ocimene,β-Myrcene,β-Caryophyllene,,,,"Evening Relaxtion, Stress Relief, Pain Management","Known for providing a tranquil yet potent psychedelic experience, Blue Gelato 41 is excellent for those seeking deep relaxation coupled with a euphoric high.","Uplifted, Relaxation, Tranquility","Mint, Earthy, Spice",,
BMC OG,Leafology,Indica,β-Myrcene,α-Pinene,Cis-β-Ocimene,,,,"Anxiety, Pain, Stress, Depression, & Fatigue",,"Aroused, Body High, Relaxing, & Tingly","Berries, Earthy Vanilla, & Tropical Citrus",,
Bold Elite4,Bold,,Limonene,β-Myrcene,β-Caryophyllene,,,,,,,,,
Boo Berry Cookies,Natural State Medicinals,,β-Caryophyllene,α-Humulene,β-Myrcene,Limonene,α-Bisabolol,https://drive.google.com/file/d/1q7tcJ63csjudiqBiiI6s2ZD1Z2KDA1oI/view,,,,,,
Boo Berry Cookies,,80/20 I,β-Caryophyllene,β-Myrcene,Limonene,,,,"Depression; Chronic stress or anxiety; Appetite loss; Migraines, Muscle spasms","Get ready for a spooktacular adventure with Boo Berry Cookies! This strain is like a deliciously haunting treat that'll make you smile from ear to ear. Its sweet and mysterious flavor will tickle your taste buds and leave you wanting more. With Boo Berry Cookies, you'll feel like you're in a whimsical wonderland, where every moment is filled with fun and excitement. So grab a bag of Boo Berry Cookies and let the magical journey begin!","Uplifted, Energetic, Happy, Creative, Focused","Sweet, Berry, Cookie Dough, Earthy","Candied blueberries, strawberry, orange",Blueberry Cookies x End Game #3
Boogie Man,Natural State Medicinals,,Limonene,β-Myrcene,Linalool,β-Caryophyllene,β-Pinene,https://bit.ly/417kPPU,,,,,,
Boogie Man (Any Number),,50/50 H,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress, Anxiety, Creative block, Mild to moderate pain, Lack of motivation","Step into the mystical realm of Boogie Man, a perfectly balanced hybrid born from the union of GG4 and Booger Cookies. Let the euphoric waves of creativity wash over you, while a gentle relaxation embraces your body. Boogie Man entices with a delectable fusion of earthy and sweet flavors, delivering an aromatic experience that captures the essence of its GG4 and Booger Cookies lineage.","Balanced hybrid effects, Euphoria, Creative inspiration, Relaxing body high, Stress relief","Earthy, Sweet, Diesel undertones",Sweet and Earthy,GG4 x Booger Cookies
Bombsicle,Osage Creek,30-70,β-Myrcene,cis-β-Ocimene,β-Caryophyllene,α-Humulene,Limonene,https://sh-ar.qbench.net/pr/2121fb25cbc3761,"Mood Enhancement, Stress Relief, Full-Body Relaxtion","Suitable for daytime or evening use, depending on the individual's reaction to its balanced effects.","Balanced, Creativity, Comfort","Fruity, Sweet, Spice",,
Breakfast of Champions,,50/50 H,β-Caryophyllene,Limonene,α-Humulene,Linalool,,,"Relaxation, creativity, stress relief","Kick off your morning with a little Breakfast of Champions, a harmonious blend of Strawberry Gary and Cereal Milk. Elevate your senses with its invigorating effects, offering a balanced and comforting experience. Let the zesty burst of Limonene and warm spiciness of β-Caryophyllene dance on your palate, creating a flavorful symphony. Ideal for those seeking stress relief, creativity stimulation, and gentle relaxation. Wake and bake with Breakfast of Champions, your perfect companion for a vibrant and invigorating cannabis experience.","Uplifting and invigorating, Balanced and harmonious experience, Comforting relaxation, Creativity enhancement","Citrusy and earthy, Subtle touch of floral sweetness","Floral, Herbal, spiciness, zesty lemon",Strawberry Gary x Cereal Milk
Bruce Banger,CMG,,β-Myrcene,Limonene,Terpinolene,cis-β-Ocimene,β-Caryophyllene,https://drive.google.com/file/d/1rH73-WiuxWiqSzQQ8-Y7gpKKUWdC45P2/view?usp=drive_link,,,,,,
Bubba Cheesecake,Osage Creek,30-70,Terpinolene,β-Caryophyllene,cis-β-Ocimene,β-Myrcene,Limonene,https://sh-ar.qbench.net/pr/0128b90f8647371,"Evening Relaxation, Stress Relief, Full-Body Relaxation","Due to its relaxing effects, it's best used in the evening or before bed. Perfect for users seeking a strain for deep relaxation, stress relief, or as a sleep aid.","Happy, Relaxed, Giggly","Herbal, Earthy, Spice",,
Bubble Bath,Revolution,,Limonene,β-Caryophyllene,Linalool,α-Humulene,β-Pinene,https://fastlabs.qbench.net/pr/7c420ffbf93ad20,,,,,,
Burkle,Natural State Medicinals,,β-Caryophyllene,Limonene,β-Myrcene,Linalool,Guaiol,https://bit.ly/42qoRUA,,,,,,
Burkle,,80/20 I,β-Caryophyllene,Limonene,β-Myrcene,,,,Chronic Pain Relief; Limonene; Myrcene,"Embark on a delightful discovery with Burkle! This strain is like a hidden treasure waiting to be uncovered. Its earthy and berry-like aroma will intrigue your senses right from the start. Burkle brings a sense of relaxation and tranquility, allowing you to unwind and find your inner peace. Whether you're seeking a moment of solitude or a peaceful gathering with friends, Burkle is the perfect choice for a well-deserved escape.","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Earthy, Pungent, Woody, Sweet","Earthy, Woody, Sweet, Spicy",Pre-98 Bubba Kush x Grandaddy Purple
Cali Kush Haze,Bold,Sativa Hybrid,Terpinolene,Cis-β-Ocimene,β-Caryophyllene,,,,,Cali Kush Haze is a sativa-dominant hybrid originating in Canada by way of California. Cali Kush Haze was bred by Crop King Seeds and is a great example of a “haze” terpene profile. The high terpene content can also help newer patients experience a true “entourage effect” when used.,,,,
Cambo Kush,Osage Creek,,β-Myrcene,α-Pinene,β-Caryophyllene,,,,,,,,,
Caramel Apple Gelato,Carpenter Farms,,β-Myrcene,β-Caryophyllene,α-Phellandrene,α-Terpinene,3-Carene & Ocimene,https://drive.google.com/file/d/1JktFHKthFvMv-gVmBUOAV3EqTDRNS_OQ/view,,,,,,
Caramel Cream,,40-60,3-Carene,Limonene,cis-β-Ocimene,,,,"Therapeutic Use, Stress Relief, Creative Activities","Caramel Cream is known for its wonderful long-lasting terpenes, robust bud structure, and high THC levels.","Happy, Relaxed, Balanced","Woody, Citrus, Sweet",,
Cataric Kush,,0-100,β-Caryophyllene,Limonene,Pinene,,,,"Evening Relaxation, Stress Relief, Pain Management","Due to its strong sedative effects, it's best used in the evening or before bed. Perfect for users seeking a strain for deep relaxation, stress relief, or as a sleep aid.","Happy, Relaxed, Tranquility","Spice, Citrus, Pine",,
Cheetah Piss,Natural State Medicinals,,Limonene,β-Myrcene,β-Caryophyllene,Linalool,α-Humulene,https://bit.ly/41aPMCU,,,,,,
Cheetah Piss,,50/50 H,Limonene,Terpinolene,β-Caryophyllene,,,,"Depression, Anxiety, Fatigue, Mild pain, Lack of appetite","Unleash the vibrant spirit of Cheetah Piss, a dynamic hybrid that emerges from the perfect trinity of Lemonade, Gelato 42, and London Poundcake 97. Dive into a symphony of invigorating effects that balance euphoria with relaxation, making it an ideal companion for both daytime and evening adventures. Cheetah Piss delights the senses with a citrus-forward taste, underscored by sweet and creamy notes, while its aroma captivates with a blend of zesty lemon and subtle hints of dessert.","Energetic and Uplifting, Relaxing body sensations, Increased sociability, Mood enhancement, Stress relief","Zesty Lemon, Sweet, Subtle Creaminess","Citrusy, Sweet, Creamy undertones",Lemonade x Gelato 42 x London Poundcake 97
Chem Reserve,Carpenter Farms,,β-Myrcene,β-Pinene,β-Caryophyllene,α-Terpinene & Phellandrene,3-Carene & Ocimene,https://drive.google.com/file/d/1ZD_beo9gn_KppgfTqyjN2dwe_5kBrJ2c/view,,,,,,
Chem Squeezy,Bold,Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,,"Bred by Free World Genetics, and not found very easily outside of the Colorado market, Chem Squeezy is slowly on the rise. When it comes to flavor, you can expect to experience notes of pine, rubber, lemon and orange.",,,,
Cherrylicious,Osage Creek,40-60,β-Caryophyllene,Limonene,α-Humulene,,,https://sh-ar.qbench.net/pr/4105756a9156a9d (No Terps),"Mental Clarity, Therapeutic Use, Creative Activities","Suitable for both daytime and evening use, thanks to its balanced effects. Ideal for activities that require a blend of creativity and relaxation.","Uplifted, Relaxed, Balanced","Spice, Citrus, Herbal",,
Cherry Garcia,,60/40 H,β-Myrcene,Terpinolene,,,,,"Anxiety Relief; Appetite Stimulation; Energy; Pain Relief, relaxed, and euphoric","If you're a fan of sweet and fruity strains, then Cherry Garcia might be the one for you! It has a delicious cherry flavor and a smooth smoke that's easy on the lungs. This strain is known for its relaxing effects, which make it great for unwinding after a long day. It's also great for relieving pain and muscle tension. So, if you're in need of some sweet relaxation, give Cherry Garcia a try!","Relaxation, Euphoria, Happiness, Uplifted, Creativity","Cherry, Sweet, Berry, Earthy","Cherry, Sweet, Floral, Fruity",Optimus Prime (3x Crazy) x Animal Cookies
Chiesel,,50/50 H,β-Caryophyllene,Limonene,α-Humulene,β-Myrcene,,,Fatigue Alleviation; Pain Relief; Stress Relief,"Chiesel is a hybrid strain that combines the best of both worlds. It has a spicy aroma that's both earthy and sweet. This strain is known for its energizing effects, which make it great for getting things done. It's also great for boosting your mood and helping you feel more positive. If you want a strain that's both uplifting and relaxing, Chiesel might be the perfect fit for you!","Euphoria, Relaxation, Happiness, Uplifted, Focus","Diesel, Earthy, Pungent, Woody","Diesel, Earthy, Spicy, Herbal",NYC Diesel x Big Buddha Cheese
Choco Mojito,,60/40 H,Limonene,β-Myrcene,β-Caryophyllene,,,,"Fatigue, Stress, Mild anxiety, Lack of creativity, Mood swings","Indulge in the delightful fusion of Choco Mojito, a unique strain crafted from the union of Lime OG Kush and the chocolatey symphony of Chocorock. This harmonious blend presents a refreshing experience with a twist of citrus and a backdrop of rich chocolate undertones. Let the energizing effects lift your spirits while a subtle relaxation unfolds, making Choco Mojito a tantalizing choice for those seeking a well-rounded and flavorful journey.","Energizing and Uplifting, Mild relaxation, Creative inspiration, Mood elevation, Stress relief","Citrus, Chocolate, Herbal undertones","Citrusy, Chocolate, Hint of Mint",Lime OG Kush x (Chocorock x Chocorock)
CHRONIC CHERRY,Leafology,Hybrid,Linalool,β-Myrcene,Limonene,,,,"Pain, Anxiety, Sleep Aid, Appetite Stimulation",,"Euphoric, Relaxing, Mental Stimulation","Sweet Berries, Savory Garlic, Diesel",,
Chupa Chupz,,50-50,β-Caryophyllene,LImonene,β-Myrcene,,,,"Mood Enhancement, Stress Relief, Creative Activities",Suitable for various occasions and times of the day due to its balanced effects. Ideal for users seeking a flavorful and aromatic cannabis strain,"Uplifted, Relaxed, Balanced","Spice, Citrus, Fruity",,
Choco Mojito,Natural State Medicinals,,Terpinolene,cis-β-Ocimene,β-Myrcene,β-Caryophyllene,β-Pinene,https://bit.ly/3EyaMKN,,,,,,
CIDER FIRE,Leafology,Indica,β-Caryophyllene,Limonene,β-Myrcene,,,,"Stress, Pain, Social Settings, & Creativity",,"Relaxing, Focused, Tingly, & Happy","Apple Cider, Earthy Cookies, Cinnamon",,
CITRADELIC SUNSET,Leafology,Sativa,Limonene,Terpinolene,Pinene,,,,"Stress, Anxiety, Depression, Creativity, Social Gatherings",,"Uplifting, Energizing, Creativity, Cerebral","Citrus, Tropical, Earthy Herbal, Spicy Floral",,
Cluster Bomb,Osage Creek,,Terpinolene,β-Myrcene,cis-β-Ocimene,Limonene,β-Pinene,https://sh-ar.qbench.net/pr/e31fcc67f34104b,"Evening Relaxation, Pain Management, Creative Activities",,,,,
Code Red,,50/50 H,Linalool,β-Caryophyllene,Pinene,,,,"Stress, Anxiety, Mild to moderate pain, Lack of focus, Mood swings","Embark on a journey with Code Red, a captivating hybrid born from the fusion of Red Runtz and Scotty 2 Hotty. Immerse yourself in the vibrant energy of this strain, where the uplifting and euphoric effects seamlessly blend with a soothing touch of relaxation. Code Red tantalizes the taste buds with a fruity sweetness, while its aroma whispers of a delightful mix of berries and earthiness, making it a must-try for those seeking a harmonious and flavorful cannabis experience.","Uplifting and Euphoric, Relaxing body high, Increased focus, Stress relief, Creative inspiration","Berries, Earthy, Sweet undertones","Sweet, Fruity, Subtle Earthiness",Red Runtz x Scotty 2 Hotty
Commerce City Kush,,70/30 I,β-Myrcene,β-Caryophyllene,α-Humulene,,,,Nausea Relief; Pain Relief; Sleep; Stress Relief,"Experience the essence of relaxation with Commerce City Kush! This strain is like a soothing getaway that'll melt away stress and tension. Its earthy and herbal aroma creates a calming atmosphere, inviting you to unwind and find your inner peace. Commerce City Kush brings a sense of tranquility and serenity, allowing you to escape the hustle and bustle of everyday life. So take a moment for yourself, breathe in, and let Commerce City Kush transport you to a state of blissful calm.","Relaxation, Euphoria, Happiness, Uplifted, Sleepiness","Earthy, Kushy, Pungent, Sweet","Earthy, Kushy, Sweet, Spicy",Chemdawg 4 x Rare Dankness #1
Cookies and Chem,Bold,Hybrid,β-Caryophyllene,Limonene,β-Myrcene,,,,,"Bred by Green Point Seeds, Cookies and Chem is a hybrid cross between Cookies and Cream and the classic Stardawg. This sweet-tasting variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night's sleep. Cookies and Chem brings together a proven resin producer in the Cookies and Cream and increases the yield and vigor by crossing to the sought after Stardawg male to create a boutique cross with commercial yields.",,,,
Cookies and Cream,Bold,Hybrid,β-Caryophyllene,Limonene,β-Myrcene,,,,,"Bred by Exotic Genetix, Cookies and Cream is a hybrid cross between Starfighter and an undisclosed GSC phenotype. This sweettasting variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night’s sleep. Cookies and Cream took first place in the hybrid category of the 2014 Denver Cannabis Cup",,,,
Copper Chem,Bold,Sativa Dominant,β-Myrcene,Limonene,β-Caryophyllene,,,,,"Copper Chem may be the epitome of the Chem Dawg line. This sativa from GreenPoint Seeds combines the classic Chem 4, of Chem Dawg fame with the solid building blocks of the Star Dawg male. This genetic creates large sweetsmelling colas with notable diesel/chem notes on the nose. A great example of what a “Chem” should smell like.",,,,
Corey's Rainbow Bridge,Bold,Indica Dominant Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,,"Corey’s Rainbow Bridge is a Indica-- dominant hybrid. CRB sports a classic Kush look and smell with notes of pine, soil, and sweet chocolate coming through on the nose",,,,
Cosmic Coma,Bold,,β-Myrcene,Limonene,β-Caryophyllene,,,,,,,,,
Cream Cake,Bold,Indica Dominant Hybrid,β-Caryophyllene,Limonene,Linalool,,,,,"If you're on the hunt for any amazing dessert-like strain with plenty of tranquil effects, you've found it with Cream Cake. The flavor follows the name with this bud, offering a sweet and sugary creamy vanilla cake taste accented by hints of fresh fruity berries and a touch of woody pine. The aroma is almost the same, although it does have a notable earthy diesel effect to it, to",,,,
Crescendo #11,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,α-Humulene,Linalool,https://bit.ly/41Cg3Kz,,,,,,
Crescendo #11,,70/30 I,β-Caryophyllene,β-Myrcene,Limonene,α-Humulene,Linalool,,Enhanced focus; Sleep; Stress Relief,"Get ready for a symphony of sensations with Crescendo #11! This strain is like a harmonious blend of uplifting and calming notes that'll transport you to a state of bliss. Its unique aroma combines hints of citrus and earth, creating a captivating fragrance. Crescendo #11 brings a balanced experience, providing both a gentle euphoria and a sense of relaxation. So let the waves of Crescendo #11 wash over you and elevate your mood to new heights.","Euphoria, Uplifted, Happy, Creative, Relaxation","Citrusy, Earthy, Diesel, Pungent","Citrusy, Earthy, Diesel, Skunky",Mandarin Cookies x Chemdawg x I-95
CRESCENDO RBX,Leafology,Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress, Pain, Insomnia, Appetite Stimulation",,"Euphoric, Relaxing, Sedative, Creativity","Diesel, Gasoline. Citrusy, Herbal, Skunk",,
